Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.722646103896105,0.45705643067540985
original,AnnSel,fr,-12.825722789115646,1.58296170280191
original,AnnSel,de,-13.14974876314162,1.8529286643748677
original,AnnSel,es,-11.701692949907237,1.040768216229638
original,AnnSel,zh,-9.771272997835498,1.2960249497118903
original,AnnSel,ja,-10.361843885281386,1.0599337020774495
original,AnnSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,AnnSel,en,-9.722646103896105,0.45705643067540985
distractor ablation,AnnSel,fr,-12.825722789115646,1.58296170280191
distractor ablation,AnnSel,de,-13.14974876314162,1.8529286643748677
distractor ablation,AnnSel,es,-11.701692949907237,1.040768216229638
distractor ablation,AnnSel,zh,-10.181463068181817,1.4937350401196716
distractor ablation,AnnSel,ja,-10.361843885281386,1.0599337020774495
distractor ablation,AnnSel,ko,-9.923263797706582,1.6460328456899
amplification,AnnSel,en,-9.722646103896105,0.45705643067540985
amplification,AnnSel,fr,-12.825722789115646,1.58296170280191
amplification,AnnSel,de,-13.14974876314162,1.8529286643748677
amplification,AnnSel,es,-11.701692949907237,1.040768216229638
amplification,AnnSel,zh,-9.489710159632036,1.225440876510171
amplification,AnnSel,ja,-10.361843885281386,1.0599337020774495
amplification,AnnSel,ko,-9.923263797706582,1.6460328456899
feature-intervention,AnnSel,en,-9.66302566481138,0.4534758741736757
feature-intervention,AnnSel,fr,-12.821548392084107,1.6010496922368915
feature-intervention,AnnSel,de,-13.145883580705009,1.851409035221954
feature-intervention,AnnSel,es,-11.703927025355597,1.0435310551683663
feature-intervention,AnnSel,zh,-10.177252435064934,1.4947207542062424
feature-intervention,AnnSel,ja,-10.589877570346319,0.9885725384279619
feature-intervention,AnnSel,ko,-9.906255727388611,1.6887609994849697
