Experiment,Method,Run,mean,stdev
original,AnnSel,en,0.819375,3.345773365910392
original,AnnSel,fr,-2.3265625,4.429335155918243
original,AnnSel,de,0.0,0.0
original,AnnSel,es,-2.350625,3.778426506567291
original,AnnSel,zh,-3.0865625,3.570956909635495
original,AnnSel,ja,-4.0778125,3.821956662036291
original,AnnSel,ko,0.530625,4.079180934060541
distractor ablation,AnnSel,en,0.819375,3.345773365910392
distractor ablation,AnnSel,fr,-2.3265625,4.429335155918243
distractor ablation,AnnSel,de,0.01375,0.1375
distractor ablation,AnnSel,es,-2.350625,3.778426506567291
distractor ablation,AnnSel,zh,-3.0865625,3.570956909635495
distractor ablation,AnnSel,ja,-4.0778125,3.821956662036291
distractor ablation,AnnSel,ko,0.530625,4.079180934060541
amplification,AnnSel,en,0.819375,3.345773365910392
amplification,AnnSel,fr,-2.3265625,4.429335155918243
amplification,AnnSel,de,0.080625,0.4137487793323261
amplification,AnnSel,es,-2.350625,3.778426506567291
amplification,AnnSel,zh,-3.0865625,3.570956909635495
amplification,AnnSel,ja,-4.0778125,3.821956662036291
amplification,AnnSel,ko,0.530625,4.079180934060541
feature-intervention,AnnSel,en,-3.495,3.1628101516777063
feature-intervention,AnnSel,fr,-6.0925,4.590296707581805
feature-intervention,AnnSel,de,0.080625,0.4137487793323261
feature-intervention,AnnSel,es,-5.7178125,3.8318700244543615
feature-intervention,AnnSel,zh,-8.5021875,2.939870681974993
feature-intervention,AnnSel,ja,-9.719375,3.0711714355832407
feature-intervention,AnnSel,ko,-9.1009375,3.7825368119899827
