Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.0675,2.845349408697596
original,AnnSel,fr,-6.32625,4.523416731494864
original,AnnSel,de,-8.2328125,5.065732255888804
original,AnnSel,es,-7.2565625,4.675895347117026
original,AnnSel,zh,-2.62875,3.32329003079597
original,AnnSel,ja,0.0,0.0
original,AnnSel,ko,-9.295625,3.0711503655064667
distractor ablation,AnnSel,en,-3.0675,2.845349408697596
distractor ablation,AnnSel,fr,-6.643125,4.372873716710554
distractor ablation,AnnSel,de,-8.2328125,5.065732255888804
distractor ablation,AnnSel,es,-7.2565625,4.675895347117026
distractor ablation,AnnSel,zh,-2.62875,3.32329003079597
distractor ablation,AnnSel,ja,0.0,0.0
distractor ablation,AnnSel,ko,-9.295625,3.0711503655064667
amplification,AnnSel,en,-3.0675,2.845349408697596
amplification,AnnSel,fr,0.8175,3.5195687616065645
amplification,AnnSel,de,-8.2328125,5.065732255888804
amplification,AnnSel,es,-7.2565625,4.675895347117026
amplification,AnnSel,zh,-2.62875,3.32329003079597
amplification,AnnSel,ja,0.0,0.0
amplification,AnnSel,ko,-9.295625,3.0711503655064667
feature-intervention,AnnSel,en,-3.1125,2.7762890581391977
feature-intervention,AnnSel,fr,-6.643125,4.372873716710554
feature-intervention,AnnSel,de,-8.2721875,5.039297306309936
feature-intervention,AnnSel,es,-7.3203125,4.608949111466696
feature-intervention,AnnSel,zh,-2.633125,3.308127414685373
feature-intervention,AnnSel,ja,0.00375,0.0375
feature-intervention,AnnSel,ko,-9.298125,3.0362375660427983
