Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.914134972170686,1.4908749653289608
original,AnnSel,fr,-14.344573283858997,1.962539174329494
original,AnnSel,de,-14.014900278293137,1.6310418262998496
original,AnnSel,es,-13.746424706246135,1.6343477799128836
original,AnnSel,zh,-13.188392011634198,3.075926933651707
original,AnnSel,ja,-13.165759435876623,1.6115911744593976
original,AnnSel,ko,-10.183240603064956,1.4077620938302695
distractor ablation,AnnSel,en,-11.968069727891157,1.4841650452651018
distractor ablation,AnnSel,fr,-14.55705009276438,1.9944517116840301
distractor ablation,AnnSel,de,-14.269762677798392,1.775323211910096
distractor ablation,AnnSel,es,-14.122619047619049,1.6441743698481646
distractor ablation,AnnSel,zh,-13.313446969696969,3.141662954540978
distractor ablation,AnnSel,ja,-13.396956168831169,1.4950549846668368
distractor ablation,AnnSel,ko,-10.118044588746143,1.4090228904448634
amplification,AnnSel,en,-11.582676252319109,1.4440433847359349
amplification,AnnSel,fr,-13.128347247990106,1.8278477634066197
amplification,AnnSel,de,-13.124841527520099,1.979001850793971
amplification,AnnSel,es,-12.560961657390228,1.6525045492533799
amplification,AnnSel,zh,-11.088313379329005,2.22255593459786
amplification,AnnSel,ja,-12.052597402597403,0.5492912368840372
amplification,AnnSel,ko,-10.128277351742698,1.3863525089586666
