Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.241048237476809,1.2847993874739714
original,AnnSel,fr,-11.83224335188621,1.107997016687244
original,AnnSel,de,-11.829510667903524,1.2220689635583144
original,AnnSel,es,-12.140916821273963,1.1746070784141311
original,AnnSel,zh,-9.972935267857142,1.2292950297259648
original,AnnSel,ja,-9.42622260551948,0.9246488315246968
original,AnnSel,ko,-10.56500343301383,2.625066474473728
distractor ablation,AnnSel,en,-10.380476963512677,1.3384464706977532
distractor ablation,AnnSel,fr,-12.308093692022263,1.0690696469465408
distractor ablation,AnnSel,de,-12.088477891156462,1.2987856167039487
distractor ablation,AnnSel,es,-12.456555349412493,1.239656108312058
distractor ablation,AnnSel,zh,-10.067129159902597,1.3743120087666207
distractor ablation,AnnSel,ja,-9.718803267045455,0.7706015477331137
distractor ablation,AnnSel,ko,-10.705280712138372,2.5646697210582694
amplification,AnnSel,en,-10.162256493506494,1.3463288207734867
amplification,AnnSel,fr,-11.359498685837972,1.1023966731858228
amplification,AnnSel,de,-11.201449443413727,1.5005046192759615
amplification,AnnSel,es,-11.197580395794683,1.14205362704355
amplification,AnnSel,zh,-9.730849228896103,1.3079552604999978
amplification,AnnSel,ja,-10.678398944805195,0.795082581685521
amplification,AnnSel,ko,-10.514830679586288,2.474617377316725
